id,img_warm,img_cool,img_low_res,img_mid_res,img_high_res,img_bright_low,img_bright_medium,img_bright_high,img_bright_very_high,img_bedroom,img_kitchen,img_bathroom,img_living_room,img_dining_room,img_balcony,img_not_a_room
3685177,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3690880,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3700218,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3708105,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3708658,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3722301,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3729980,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3758059,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
3772476,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3781388,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3793956,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3804795,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3806069,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3829648,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3833796,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3840321,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3841266,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3847617,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3850766,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3867834,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3879930,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3903880,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3917964,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3934811,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3944495,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3966768,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3974283,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3982031,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3996686,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4035170,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4043288,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
4064519,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
4064665,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4072802,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4076501,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4108615,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4119684,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4147932,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4150731,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4157853,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
4180798,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4185598,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
